title,actor,actress
(500) Days of Summer,"Gordon-Levitt, Joseph","Deschanel, Zooey"
10 Items or Less,"Freeman, Morgan","Vega, Paz"
10 Years,"Tatum, Channing","Dewan Tatum, Jenna"
"10,000 BC","Strait, Steven","Belle, Camilla"
100 Girls,"Tucker, Jonathan","Chriqui, Emmanuelle"
102 Dalmatians,"Depardieu, Gérard","Close, Glenn"
127 Hours,"Franco, James","Mara, Kate"
13,"Riley, Sam","Barrett, Alice"
13 Going on 30,"Ruffalo, Mark","Garner, Jennifer"
17 Again,"Efron, Zac","Mann, Leslie"
2012,"Cusack, John","Peet, Amanda"
21 Grams,"Penn, Sean","Watts, Naomi"
28 Days,"Mortensen, Viggo","Bullock, Sandra"
3 Days to Kill,"Costner, Kevin","Heard, Amber"
30 Days of Night,"Hartnett, Josh","George, Melissa"
300,"Butler, Gerard","Headey, Lena"
300: Rise of an Empire,"Stapleton, Sullivan","Green, Eva"
40 Days and 40 Nights,"Hartnett, Josh","Sossamon, Shannyn"
4: Rise of the Silver Surfer,"Gruffudd, Ioan","Alba, Jessica"
5 Days of War,"Friend, Rupert","Chriqui, Emmanuelle"
50 First Dates,"Sandler, Adam","Barrymore, Drew"
6 Souls,"Rhys Meyers, Jonathan","Moore, Julianne"
8 Mile,Eminem,"Basinger, Kim"
88 Minutes,"Pacino, Al","Witt, Alicia"
A Dirty Shame,"Knoxville, Johnny","Ullman, Tracey"
A Good Old Fashioned Orgy,"Sudeikis, Jason","Bibb, Leslie"
A Guide to Recognizing Your Saints,"Downey Jr., Robert","Wiest, Dianne"
A Guy Thing,"Lee, Jason","Stiles, Julia"
A Haunted House 2,"Wayans, Marlon","Pressly, Jaime"
A History of Violence,"Mortensen, Viggo","Bello, Maria"
A Late Quartet,"Walken, Christopher","Keener, Catherine"
A Little Bit of Heaven,"García Bernal, Gael","Hudson, Kate"
A Lot Like Love,"Kutcher, Ashton","Peet, Amanda"
A Love Song for Bobby Long,"Travolta, John","Johansson, Scarlett"
A Mighty Heart,"Futterman, Dan","Jolie, Angelina"
A Million Ways to Die in the West,"MacFarlane, Seth","Theron, Charlize"
A Prairie Home Companion,"Harrelson, Woody","Burke, Marylouise"
A Single Man,"Firth, Colin","Moore, Julianne"
A Sound of Thunder,"Rohde, Armin","Makatsch, Heike"
A Thousand Words,"Murphy, Eddie","Washington, Kerry"
A Walk to Remember,"West, Shane","Moore, Mandy"
About Schmidt,"Nicholson, Jack","Bates, Kathy"
Across the Universe,"Sturgess, Jim","Wood, Evan Rachel"
Adam,"Dancy, Hugh","Byrne, Rose"
Adaptation.,"Cage, Nicolas","Swinton, Tilda"
After the Dark,"D'Arcy, James","Lowe, Sophie"
After the Sunset,"Brosnan, Pierce","Hayek, Salma"
After.Life,"Neeson, Liam","Ricci, Christina"
Ain't Them Bodies Saints,"Affleck, Casey","Mara, Rooney"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Carell, Steve","Garner, Jennifer"
Alfie,"Law, Jude","Taylor, Renée"
Alice in Wonderland,"Depp, Johnny","Wasikowska, Mia"
All About Steve,"Church, Thomas Haden","Bullock, Sandra"
All Good Things,"Gosling, Ryan","Dunst, Kirsten"
All the Boys Love Mandy Lane,"Mount, Anson","Heard, Amber"
Almost Famous,"Crudup, Billy","McDormand, Frances"
Aloha,"Cooper, Bradley","Stone, Emma"
Alone in the Dark,"Slater, Christian","Reid, Tara"
Along Came a Spider,"Freeman, Morgan","Potter, Monica"
Along Came Polly,"Stiller, Ben","Aniston, Jennifer"
Alpha and Omega,"Long, Justin","Panettiere, Hayden"
Amazing Grace,"Gruffudd, Ioan","Garai, Romola"
America's Sweethearts,"Crystal, Billy","Roberts, Julia"
American Pie 2,"Biggs, Jason","Elizabeth, Shannon"
American Reunion,"Biggs, Jason","Hannigan, Alyson"
An American Haunting,"Sutherland, Donald","Spacek, Sissy"
An Unfinished Life,"Redford, Robert","Lopez, Jennifer"
Anacondas: The Hunt for the Blood Orchid,"Messner, Johnny","Strickland, KaDee"
Anchorman: The Legend of Ron Burgundy,"Ferrell, Will","Applegate, Christina"
